,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,CurrentRatio,AssetTurnover,Momentum_1M,Momentum_12M,MACrossover,jlr,yylr,yysr,LTD2Equity_LR,Momentum_24M,PD,BZC,y
18,32,402,7.5738,0.06411293,0.06411293,-0.3634837,0.020725633,0.016318369,0.721423233,0.294825611,-45.2767,-49.0211,-35.5608,8.8404,4.249,3.100960367,0.214210386,0.229211087,-0.064882401,-0.072870746,596.8511,599.2305,216.0238,1.961629168,0.782071097,1.64689297,0.223267113,1.0
19,33,413,1.0067,0.018620979,0.018620979,0.02380408,0.020363291,0.013143746,0.191481681,0.038332746,363.7724,583.6427,466.9599,9.2617,9.3164,2.594551266,0.093060821,-0.120155039,0.183833116,-0.075287224,52.8242,231.1256,172.257,0.526675693,0.140703518,1.003627069,0.602582161,1.0
20,36,418,18.8653,0.053584899,0.053584899,0.183108153,0.11180156,0.10600303,0.260762487,0.716538953,29.2656,22.0111,16.3174,17.9357,8.9555,1.536792834,0.832799494,0.126231816,0.834862385,-0.025356431,-15.2557,-9.3672,0.2729,0.008159404,1.065404475,0.549956193,-0.396207129,1.0
21,37,423,7.3845,0.042807173,0.042807173,0.025551582,0.013345425,0.005916002,0.183318857,0.131695991,11.98,11.9899,18.5014,23.1689,23.7584,4.4212919,0.560998608,0.129833657,0.402896996,-0.023530519,39.8629,31.1926,34.5222,0.010121564,0.505902678,1.547723028,-1.699558095,1.0
22,39,426,0.9973,-0.002060784,-0.002060784,-0.003888243,-0.005942787,-0.014314237,0.223742513,0.095583581,-238.5325,-352.9578,-44.8757,-0.9209,0.3675,0.662810964,0.292240396,0.0,-0.409205021,-0.341292399,-2752.2574,-1613.9685,-17.4529,0.182951595,-0.38178634,2.467045083,1.534658542,1.0
23,40,488,10.1933,0.065869079,0.065869079,-0.654787364,-0.169941456,-0.420262244,1.136388063,1.100801071,315.4991,230.8043,5.625,6.053,4.0868,0.723028087,0.253180142,0.019428571,0.445705024,-0.03621898,66.4973,32.8089,3.287,0.715326676,0.839175258,0.780316753,-0.575139195,1.0
24,41,501,33.2144,0.07254854,0.07254854,0.077319912,0.108186914,-0.111882832,0.374126369,1.612134372,38.4579,59.5899,-2.1463,19.356,6.9199,0.328652436,0.989747417,0.182320442,0.352718078,-0.051140731,109.2187,99.2388,19.6302,0.465761396,0.544011544,-0.772706441,-0.826030485,1.0
25,42,503,0.202,0.000218167,0.000218167,0.000303384,-0.000313779,-0.002045368,0.031138455,0.004183944,401.1106,520.9437,21.6912,1.6756,1.9965,11.7849314,0.122525083,0.021347972,0.070652174,-0.182733589,310.5274,361.8989,83.6495,0.001130546,0.522272727,0.579420878,1.760217289,1.0
26,44,513,15.2419,0.031681528,0.031681528,0.044565477,0.035913645,0.01299495,0.208768432,0.299566752,33.0223,15.5622,21.7499,14.3259,10.7768,1.134057791,0.746658612,0.261366132,0.161610032,-0.150226991,-30.2874,-21.9505,-2.1202,0.025930608,0.088101554,-1.010406748,-0.619500873,1.0
27,46,525,13.4432,0.013914212,0.013914212,0.025879977,0.115722746,0.067126339,0.411065792,0.787417446,-1655.785,-1711.1492,-83.1564,4.6613,3.4581,0.769470639,0.828943737,0.029787234,0.06742281,-0.094518591,-302.0576,-298.573,-66.9384,0.029281749,0.15473756,-0.681843877,-0.216903243,1.0
28,48,538,18.9452,0.038220944,0.038220944,0.030230489,0.032883603,0.03099994,0.186320891,0.279719188,19.2689,11.1299,10.0696,20.6271,18.1628,3.614888114,1.022735762,0.072990544,0.149960412,-0.027400034,-29.6793,-29.4664,17.5922,0.080922187,0.396001538,0.246348009,-2.031619662,1.0
29,51,541,2.3975,0.00311485,0.00311485,0.015566114,0.022025323,0.016355444,0.415223819,0.263735194,-135.3036,10.4698,-9.5921,1.0631,0.6182,3.703159927,0.50426517,0.219868517,0.635651322,-0.034043268,-3.3895,-134.0022,-9.0288,0.07987513,0.374485597,-1.101728159,0.563231722,-1.0
30,52,543,11.3859,0.138653219,0.138653219,0.22293868,0.239470128,0.195993936,0.637504965,0.666856277,-0.2334,-0.6152,-11.0307,12.6788,12.4319,0.407009483,0.526416067,-0.052572707,-0.340342679,-0.217278912,-14.5204,-14.453,-10.3422,0.483166828,0.101430429,-1.122364288,-0.826871571,1.0
31,54,550,29.2531,0.105541635,0.105541635,0.091449289,0.15029165,0.077008264,0.569070459,2.019116386,-14.1097,18.1572,1.6173,18.5463,11.1971,1.534983569,1.199563744,0.051929825,-0.010561056,-0.100636879,48.5537,-24.4548,51.9359,0.025078098,0.002340354,-0.014978077,-0.944129076,1.0
32,55,552,2.5136,0.021239451,0.021239451,-0.002564637,-0.020170553,-0.121336108,0.721552801,0.448568335,-93.8511,-75.1121,10.4668,2.9373,2.6888,1.266458795,0.310473977,0.142857143,-0.001980198,-0.12647114,-63.326,-92.3694,27.1733,0.0014148,0.070063694,-0.372615774,0.230756321,-1.0
33,56,559,4.4282,0.024711595,0.024711595,0.035878192,0.040958046,0.0278338,0.123363961,0.310593728,18.9473,6.2356,13.0425,18.6226,8.7331,1.443209873,0.797034747,0.034277879,0.906486942,0.071028238,73.5965,78.1119,51.5142,0.550717286,0.719604863,-0.022954824,0.575958305,-1.0
34,57,563,0.9283,0.024481067,0.024481067,0.019215479,0.042028139,0.041740255,0.412779036,0.068455962,6.3705,4.5981,12.8863,5.9308,9.3557,3.196521105,0.128955176,0.357271095,0.202863962,-0.073179548,107.3139,109.1938,15.2845,0.013345746,0.933503836,0.746741629,0.790516732,-1.0
35,58,566,2.6192,0.011295857,0.011295857,0.008090814,0.002980106,-0.00669152,0.131078999,0.083161333,-2829.5979,-609.7139,56.1841,8.5121,7.7178,1.735456544,0.292568333,0.027770431,1.553219448,-0.074583713,-132.897,-129.6406,13.9737,0.390908712,1.475159236,-1.070066097,0.483886209,-1.0
36,59,568,3.8599,0.035986997,0.035986997,0.003545767,-0.025611091,-0.027449593,0.238474546,0.136481235,135.5729,148.5199,225.4875,14.3339,14.4657,3.454422183,0.410609227,0.168965517,0.329411765,-0.028106334,-49.1183,-55.0521,43.182,0.010303252,0.541785105,0.702366063,-1.204386726,1.0
37,64,592,1.1601,0.002717738,0.002717738,-0.014015837,-0.002601946,-0.008820457,0.204157646,0.070559877,-84.4005,-65.3621,-9.802,1.2013,2.5769,9.790444276,0.25885497,-0.018181818,0.180153574,-0.180374305,736.3972,262.542,22.9824,0.013787968,0.604819277,0.344680698,1.448159183,-1.0
38,65,596,9.8764,0.037398179,0.037398179,0.041293391,0.041806376,0.029379882,0.252624161,0.274590313,72.52,57.273,10.4076,14.8039,13.7915,2.023229075,0.692417866,0.123076923,-0.01217862,-0.077172621,78.9812,101.1304,-4.793,0.013775509,0.395793499,1.200304249,-0.380187368,1.0
39,68,603,1.7394,0.029104149,0.029104149,0.018191317,0.035077344,0.034698482,0.066788926,0.061744304,-25.3129,-20.1432,-16.0005,27.0626,44.1023,0.627502529,0.623627867,0.107361963,0.472267537,-0.170454775,1.1547,-8.9367,8.0884,0.013812399,0.078900179,0.560713939,1.970093443,1.0
40,69,612,4.3486,-0.00597986,-0.00597986,-0.004154213,0.118279906,0.105310262,0.455643479,0.453056501,-188.601,-142.2806,-28.1583,-1.3124,0.8579,1.249462227,0.606219194,0.150829563,-0.244554455,-0.195044235,-179.9539,-351.485,-11.2339,0.344262647,-0.262088975,0.551244609,0.862921514,1.0
41,71,620,1.88,0.01655428,0.01655428,-0.166749812,-0.122143372,-0.226095505,0.340283381,0.142219837,-4.7895,-0.8401,41.0961,5.1829,1.8751,1.697487037,0.104892826,0.0,0.371777476,-0.068150788,404.9731,4435.1247,136.2457,2.118898487,0.524886878,0.483592101,0.421570822,1.0
42,73,625,13.2449,0.145699894,0.145699894,0.079510683,0.098007528,0.053694287,0.504902128,1.122304215,63.3523,54.9827,15.4797,28.9448,12.3584,1.026761187,0.690714703,0.166323024,0.032866707,-0.109387769,96.1814,93.7084,23.9696,0.144296874,0.267363704,2.098592676,-0.718658404,1.0
43,74,629,1.7544,-0.115580918,-0.115580918,0.00141011,0.065216207,-0.037752581,0.401826854,0.380941341,80.0789,76.5506,-36.4976,-26.2098,-2.6858,0.3004429,0.269051354,0.223333333,0.022284123,-0.179810726,-201.7421,-147.0033,-1.8893,2.519398646,0.395437262,1.239368264,1.004479443,-1.0
44,76,631,3.9583,0.024477415,0.024477415,0.237993012,0.102905885,0.102901838,0.281754777,0.423804922,-73.7432,-74.0116,-79.6608,8.6875,3.7401,1.555342952,0.487211822,-0.03875969,0.577106518,-0.017756965,325.4964,207.2016,-5.6177,0.404754004,0.607779579,0.212204625,0.451152446,-1.0
45,85,671,4.723,0.067831698,0.067831698,-0.15184213,0.056386061,0.055869242,0.470337692,0.547416138,42.2329,59.2888,114.8505,11.8041,4.0539,1.690462575,0.218184972,0.199203187,-0.348954578,-0.501860225,231.5358,191.376,294.0256,1.350016755,-0.296728972,1.356629178,0.152602785,-1.0
46,86,680,4.0424,-0.134528681,-0.134528681,0.034702826,0.016713998,0.007628682,0.441856325,0.680051404,-647.2553,-801.4945,-43.4797,-27.5334,-7.6916,1.074624996,0.533655284,0.199059561,0.013245033,-0.113029848,-168.5725,-94.5499,-10.3218,0.392495121,0.875,-0.42567013,0.276535951,-1.0
47,87,681,0.5799,0.010875496,0.010875496,0.007634954,0.007395957,0.006893508,0.132276358,0.026339133,228.8941,12.3373,115.5743,7.5733,9.7242,3.21748668,0.146668071,0.052908587,0.811725453,-0.096991701,87.311,99.2853,175.1164,0.157057214,0.595048258,0.520462598,1.498946296,-1.0
48,91,693,18.2758,-0.022876713,-0.022876713,0.001013981,0.098662856,0.090014832,0.185006337,1.597999529,-330.3869,-381.2238,-172.4031,-12.3654,-2.8503,1.162045094,1.828442664,-0.172,-0.230483271,-0.112454387,-4722.416,-4891.0762,-113.8357,0.111859657,-0.169045495,0.76215941,2.948567771,-1.0
49,93,703,24.4268,0.010481477,0.010481477,0.026516609,0.205707694,0.188721299,0.404184951,2.095991303,142.1241,136.4601,37.3052,2.9526,2.4435,0.548035882,1.129143548,0.064176245,0.2303433,-0.132910305,204.6913,200.0682,9.2224,0.116692177,0.34178744,-0.086943319,0.69162883,1.0
50,94,709,8.4769,0.011713527,0.011713527,0.418844259,0.385009985,0.013220392,1.271603641,3.607293262,-83.4296,-94.9884,-47.3046,1.3148,1.6733,0.433749168,0.503394346,0.07073955,-0.130548303,-0.307849155,-89.4398,-67.7097,-36.5183,0.168171769,0.473451327,0.263386862,-0.309242066,1.0
51,95,712,0.043,0.072631447,0.072631447,0.064785881,0.383828579,0.377558945,0.193336903,0.002759815,96.8378,75.1681,4532.6611,27.0068,9.7408,1.231557313,0.001940854,0.054308472,0.070588235,-0.07995927,-4.1563,-3.2767,31.129,0.716248212,0.635955056,0.966548193,0.808040813,-1.0
52,96,718,3.2716,0.034007177,0.034007177,0.121472739,0.07423586,0.073989114,0.350991322,0.381508153,-78.1494,-83.152,-49.0974,9.8844,6.2177,1.778569379,0.350627929,0.009181331,0.959881129,-0.101252227,-72.1752,-58.5217,45.7242,0.226630344,1.460820896,0.876812582,1.615283816,-1.0
53,97,719,11.2604,0.061662602,0.061662602,0.0800333,0.105838745,0.081668169,0.539126952,1.075522368,-21.4323,5.4538,-2.2379,11.5253,7.1191,2.411049766,0.953133342,-0.028571429,0.232628399,-0.037938074,59.6113,11.994,68.8296,0.105850905,0.374663073,-1.310557689,-0.339682121,-1.0
54,100,728,2.9089,0.07174363,0.07174363,0.027739526,0.557934939,0.554924979,0.513613446,0.379144642,25.061,27.6359,-7.1451,13.9675,,#DIV/0!,0.078749735,-0.000442478,-0.275264678,-0.125548689,56.5751,49.1145,26.9117,0.0,0.701054217,0.855304185,0.726294093,1.0
55,101,729,4.5357,0.028650193,0.028650193,0.074105278,0.061338191,0.026671265,0.578853622,0.633720147,-104.0838,-28.8049,-13.4003,4.6358,4.7719,1.325744901,0.700778968,0.053777209,0.030037547,-0.094662974,-213.6087,-258.4971,-75.281,0.001346259,0.192753623,1.347518877,-1.89083018,1.0
56,103,738,2.2072,0.006467074,0.006467074,0.020584245,0.008855465,-0.002389049,0.153908548,0.084964571,-7.7122,39.1732,14.6954,4.1359,3.7575,2.695096592,0.363909007,-0.03006135,0.912885662,0.004165772,-21.1351,-50.9861,37.2425,0.068516385,0.884386174,1.037630294,0.915134678,1.0
57,104,748,2.3401,0.008403612,0.008403612,0.011303776,0.010844156,0.000804711,0.26234759,0.118284119,4025.2995,74.2885,33.9293,2.9982,3.1218,2.295207534,0.295396768,0.0,-0.103341902,-0.026658072,170.0374,1939.3344,103.1226,0.178874842,0.212795549,-0.322131811,-0.002377501,-1.0
58,105,750,1.4534,0.062745804,0.062745804,-0.204660063,0.455462197,0.452814208,0.451866509,0.385928272,61.3596,67.5069,56.9086,13.5235,,#DIV/0!,0.077773933,0.057613169,-0.26106958,-0.153446631,20.0307,21.2503,27.8502,0.0,0.272277228,0.217841024,0.334809532,-1.0
59,106,758,19.4257,0.018945499,0.018945499,0.088206219,0.040139193,0.024595181,0.290486132,1.332420528,-64.3828,-85.6943,-4.1091,7.9679,3.7601,1.053083365,0.838648499,0.021276596,0.012933969,-0.150196976,-47.4658,35.2035,16.3924,0.390609301,0.302977233,-0.019979995,0.539704892,-1.0
60,108,768,8.0937,0.007721253,0.007721253,0.022162122,-0.036036564,-0.04893317,0.255665622,0.406500084,33.1442,73.3121,3.417,2.6226,1.7904,1.604626943,0.598137539,0.000808081,0.30781415,-0.168727437,12061.376,7143.8282,20.6778,0.110696162,0.568714376,0.014755722,0.57149231,1.0
61,116,800,19.4958,0.003501181,0.003501181,0.04852887,0.002221073,-0.035257608,0.503571908,1.854316328,115.6711,168.6539,-21.3797,0.6078,1.0962,1.000524975,1.75898489,0.090606262,0.081241744,-0.14317234,106.2034,111.1825,39.9275,0.050844937,0.473447345,-2.058041535,-0.327857784,-1.0
62,117,816,1.5018,0.00051829,0.00051829,0.019522069,-0.01533544,-0.035562624,0.422484084,0.320088249,102.28,126.3278,-35.5693,0.8123,0.2627,1.260631895,0.32155604,0.023312883,0.387687188,-0.140151002,165.2472,107.8212,-31.4493,0.103619028,0.319620253,-0.572601828,0.111251892,-1.0
63,120,829,41.0408,-0.034040963,-0.034040963,0.12188537,0.026222819,0.019315229,0.179824827,6.220983758,78.1231,79.4692,31.51,-11.5133,-1.091,1.13557394,3.472837167,0.0,0.521793275,-0.193714044,-49.9475,-50.1016,38.2386,0.062386381,0.238095238,0.634094545,2.038940297,1.0
64,121,830,9.5096,0.040638388,0.040638388,0.244866356,0.198740122,-0.220769141,1.097434257,1.500038536,-189.0946,-203.5146,-25.1328,3.703,4.3122,0.302872345,0.622809137,0.03742515,0.283333333,-0.137765365,-184.3808,-232.4499,-11.8101,0.401939833,0.686131387,-2.096422555,-0.779784415,-1.0
65,122,831,1.0359,-0.035892622,-0.035892622,0.007451413,-0.018920247,-0.019212665,0.182522634,0.092042925,-418.4744,-465.1359,-85.0763,-19.008,-18.7735,31.29117734,0.454247077,0.019704433,-0.309769923,-0.143831018,-295.1943,-200.4292,-70.0384,0.003409743,-0.116517286,0.11814951,0.624330936,-1.0
66,123,848,3.6435,0.043492051,0.043492051,0.073847302,0.04342126,0.038494852,0.15559486,0.294593483,15.6115,17.9139,-3.5961,27.6331,27.8336,2.462938034,1.100829311,0.18961788,-0.249658936,-0.145133211,38.2262,23.2138,2.8997,0.022721594,-0.260089686,-0.205239753,-0.357343592,-1.0
67,124,852,7.26,0.006446733,0.006446733,0.019730871,0.015812911,0.008195881,0.384872912,0.518235053,-24.9588,80.343,-39.7921,0.2297,1.1547,1.218866194,0.452744169,0.024460432,0.024952015,-0.18052999,242.6413,158.6959,56.0274,0.003066116,-0.086789226,-1.085086857,0.198205101,-1.0
68,125,858,5.4174,0.05074405,0.05074405,0.052965095,0.045420762,0.042292295,0.34298263,0.205254894,27.0658,40.3221,9.8393,14.254,15.2708,5.59733378,0.391354704,0.135247607,0.268837209,-0.019368562,20.4636,16.0753,66.7024,0.005397252,0.477789816,1.852611566,-1.599161085,1.0
69,126,860,16.5156,0.032927755,0.032927755,0.030100367,0.019718467,0.010450031,0.463783641,0.732277895,8.7665,17.7963,-9.9478,6.97,4.5336,1.657021869,0.592780571,0.217142857,0.140256959,-0.088865409,108.7539,92.4051,17.8535,0.690132064,0.295620438,0.272306197,-0.401072581,1.0
70,127,861,0.7852,0.018017552,0.018017552,0.031666657,0.050912429,-0.00108719,0.243675633,0.132986265,-60.9681,-47.6248,-6.0,7.0073,5.8183,1.830883773,0.22847545,-0.134378499,-0.0373599,-0.402254596,129.306,60.8521,22.3209,0.949027549,0.176560122,1.409829398,0.665958389,-1.0
71,129,876,32.3553,0.087337262,0.087337262,0.094068344,0.092696718,0.040544956,0.568542268,2.164160863,-14.9702,3.8355,-21.6512,11.4761,9.9324,0.982135234,1.914760732,0.0,0.356428571,-0.038884924,-35.3865,-50.3718,-12.5629,0.051791341,0.358369099,0.106802315,-1.597803964,-1.0
72,132,887,5.3294,0.025617492,0.025617492,0.037256992,0.024027449,0.012328059,0.125159944,0.199213047,25.9638,-9.0815,50.5148,19.4791,14.9917,2.356221306,0.795721452,0.074681239,0.710144928,-0.08097468,-51.4455,-32.818,11.6368,0.502840111,0.739130435,-0.025451807,0.219036079,1.0
73,133,895,13.6349,0.05524238,0.05524238,0.072126824,0.073643769,0.045424879,0.210043348,0.579994682,24.7919,29.3562,-0.3986,25.3422,25.2331,1.741596649,1.966703465,0.061362454,-0.353090333,-0.11710096,-0.1676,-3.1411,5.4119,0.004680537,-0.400763359,1.033369843,-1.649169055,1.0
74,135,898,8.9651,-0.140676333,-0.140676333,0.157098766,0.074711366,-0.041713591,1.323397313,2.091671273,-2140.4255,-185400.0,-33.5943,-10.6138,-2.854,0.548669891,0.732098515,0.046052632,-0.224390244,-0.168246445,-254.6411,-166.1425,-10.9379,0.044160466,0.362857143,0.194911738,-0.676400688,1.0
75,136,900,6.0306,0.072235418,0.072235418,0.178773085,0.116423534,0.052820664,0.868093059,0.505196548,20.7908,91.0599,-42.0273,8.1377,6.9031,0.85202681,0.326377081,0.046134663,0.195156695,-0.094651087,154.1789,51.3775,-26.8283,0.855416536,0.553703704,-2.172179203,-1.662003412,1.0
76,137,917,3.8721,0.020666608,0.020666608,0.025426422,0.032600752,-0.008777371,0.468061423,0.227387309,181.1374,2571.717,36.6653,3.5567,4.9287,1.226455424,0.272370484,0.014514897,0.573459716,-0.078813491,-63.506,-60.309,57.5063,0.296825123,0.595195195,-1.248539157,1.216779755,-1.0
77,139,921,18.1607,0.042299853,0.042299853,0.037635612,0.051801838,0.016855426,0.314291331,2.02425531,53.8896,270.7228,-6.627,14.3505,4.5686,0.903301464,1.731501336,-0.138336347,0.141317365,-0.126574233,245.9478,18.7645,-24.4288,0.092249183,0.026939655,1.074461569,0.499076594,1.0
78,142,931,3.4287,0.028018869,0.028018869,-0.001985297,-0.004455151,-0.017678105,0.14341685,0.426240053,-106.63,-119.1495,-67.3541,19.2721,8.9043,1.103876257,0.839306948,0.130899377,0.524609844,-0.062800349,-161.0966,-132.4981,37.9491,0.166854516,1.019077901,-1.527523565,0.046778321,-1.0
79,143,933,11.9528,-0.207706685,-0.207706685,-0.083102458,0.151964303,-0.0174386,0.594358922,1.725044346,-7749.6539,-2188.2962,-41.5939,-31.777,-0.7159,0.464571567,0.45038438,0.134396355,-0.168614357,-0.234280573,-52.7447,-80.9539,-2.4261,1.964994325,0.094505495,0.723378171,0.407963609,1.0
80,144,937,4.1485,0.014122797,0.014122797,0.048908997,0.06896115,-0.020323001,0.854465729,0.641487437,144.94,530.5066,-24.6906,1.9165,1.9394,0.968085695,0.360101978,-0.00591716,-0.395683453,-0.203478555,901.4101,499.4017,-17.0601,0.322505542,-0.262079063,0.875300009,-0.304704511,1.0
81,145,939,1.9085,0.025317517,0.025317517,0.040249015,0.065410387,-0.224804201,0.548082967,0.125387109,-3.856,-17.7998,-14.349,5.2673,4.5365,0.637340225,0.087455238,0.034482759,0.28,-0.073009997,169.7636,655.7372,2.9232,1.536364813,0.92,-0.666981812,-0.003286977,-1.0
82,146,951,52.379,0.038028136,0.038028136,0.026243585,0.057103537,0.049741273,0.498272703,2.554371685,-42.4284,-12.2969,-18.6656,6.1111,3.6206,1.358289666,1.295168845,0.161000641,-0.124758221,-0.128776209,137.7395,57.3957,19.154,0.220466528,0.162491972,-0.024703243,-0.078423987,-1.0
83,147,961,18.0736,0.015237331,0.015237331,0.032904283,0.005832845,0.002001952,0.311965189,0.483608851,-121.9475,-99.9876,-13.2209,3.8871,1.0937,1.416186272,0.219348288,-0.005787781,0.128467153,-0.147440384,-99.872,-252.1371,86.7342,2.318725683,0.687772926,-0.118918726,0.622649594,-1.0
84,149,969,4.6828,0.008493708,0.008493708,0.029625083,0.012333467,-0.003752496,0.25155509,0.326594698,101.6315,104.5067,-10.5665,2.7149,2.5912,1.243686761,0.485191942,-0.06953405,0.423245614,-0.062100044,-87.1909,-95.0498,3.9448,0.181612753,0.27254902,0.080522405,0.553592806,1.0
85,150,970,3.4723,0.017997183,0.017997183,0.0235799,0.020146167,0.011732731,0.211853802,0.220681948,44.8474,38.4421,-5.1164,7.0543,8.058,5.774678489,0.695116016,-0.018194542,-0.051386072,-0.169656468,61.0063,64.8259,7.2549,0.014869957,-0.116498741,-0.258743273,0.603110575,1.0
